"filename", "language", "Markdown", "Lua", "XML", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\Power_DI.mod", "XML", 0, 0, 11, 0, 2, 13
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\README.md", "Markdown", 52, 0, 0, 0, 25, 77
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\Power_DI.lua", "Lua", 0, 152, 0, 18, 19, 189
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\Power_DI_data.lua", "Lua", 0, 100, 0, 0, 2, 102
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\Power_DI_localization.lua", "Lua", 0, 167, 0, 0, 4, 171
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\libraries\md5.lua", "Lua", 0, 347, 0, 17, 63, 427
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\api_manager.lua", "Lua", 0, 39, 0, 6, 2, 47
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\coroutine_manager.lua", "Lua", 0, 56, 0, 6, 7, 69
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\dataset_manager.lua", "Lua", 0, 358, 0, 65, 61, 484
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\datasource_manager.lua", "Lua", 0, 93, 0, 9, 22, 124
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\lookup_manager.lua", "Lua", 0, 73, 0, 8, 12, 93
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\player_manager.lua", "Lua", 0, 29, 0, 1, 5, 35
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\realtime_generation_manager.lua", "Lua", 0, 71, 0, 1, 4, 76
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\report_manager.lua", "Lua", 0, 443, 0, 19, 67, 529
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\save_manager.lua", "Lua", 0, 240, 0, 17, 30, 287
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\session_manager.lua", "Lua", 0, 125, 0, 13, 23, 161
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\ui_manager.lua", "Lua", 0, 4478, 0, 425, 360, 5263
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\utilities.lua", "Lua", 0, 194, 0, 24, 37, 255
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\view_manager.lua", "Lua", 0, 306, 0, 1, 43, 350
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\custom_lookup_table_templates\buff_to_talent.lua", "Lua", 0, 25, 0, 0, 3, 28
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\custom_lookup_table_templates\combat_abilities.lua", "Lua", 0, 53, 0, 11, 2, 66
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\custom_lookup_table_templates\damage_categories.lua", "Lua", 0, 86, 0, 1, 5, 92
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\custom_lookup_table_templates\index.lua", "Lua", 0, 8, 0, 0, 0, 8
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\custom_lookup_table_templates\minion_categories.lua", "Lua", 0, 313, 0, 1, 1, 315
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\custom_lookup_table_templates\player_state_categories.lua", "Lua", 0, 29, 0, 0, 3, 32
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\dataset_templates.lua", "Lua", 0, 777, 0, 0, 42, 819
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\datasource_templates.lua", "Lua", 0, 1405, 0, 20, 186, 1611
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\game_lookup_table_templates.lua", "Lua", 0, 12, 0, 1, 3, 16
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\lookup_tables_template_DEPRICATED.lua", "Lua", 0, 125, 0, 4, 13, 142
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\renderer_templates.lua", "Lua", 0, 55, 0, 0, 11, 66
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\report_templates.lua", "Lua", 0, 234, 0, 11, 3, 248
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\save_data_template.lua", "Lua", 0, 5, 0, 1, 1, 7
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\scenegraph_templates.lua", "Lua", 0, 171, 0, 0, 1, 172
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\view_templates.lua", "Lua", 0, 70, 0, 1, 2, 73
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\pdi_base_view.lua", "Lua", 0, 206, 0, 0, 36, 242
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\pdi_main_view.lua", "Lua", 0, 564, 0, 2, 38, 604
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\pdi_main_view.lua", "Lua", 0, 38, 0, 0, 6, 44
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\view_elements\pdi_base_view_element.lua", "Lua", 0, 206, 0, 0, 41, 247
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\view_elements\pdi_edit_view_element.lua", "Lua", 0, 2421, 0, 26, 149, 2596
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\view_elements\pdi_main_view_element.lua", "Lua", 0, 648, 0, 6, 39, 693
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\view_elements\pdi_pivot_table_view_element.lua", "Lua", 0, 1279, 0, 25, 69, 1373
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\widgets\custom_multi_line_text_input.lua", "Lua", 0, 518, 0, 5, 77, 600
