"filename", "language", "Markdown", "Lua", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\README.md", "Markdown", 57, 0, 0, -9, 48
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\Power_DI.lua", "Lua", 0, -34, 0, -5, -39
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\Power_DI_data.lua", "Lua", 0, 0, 10, 0, 10
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\Power_DI_localization.lua", "Lua", 0, 595, 137, 3, 735
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\api_manager.lua", "Lua", 0, 0, 0, 5, 5
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\coroutine_manager.lua", "Lua", 0, -1, 0, 0, -1
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\dataset_manager.lua", "Lua", 0, -1, 0, 0, -1
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\datasource_manager.lua", "Lua", 0, -2, 0, 0, -2
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\player_manager.lua", "Lua", 0, -29, -1, -5, -35
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\player_manager_DEPRICATED.lua", "Lua", 0, 29, 1, 5, 35
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\realtime_generation_manager.lua", "Lua", 0, -71, -1, -4, -76
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\realtime_generation_manager_DEPRICATED.lua", "Lua", 0, 71, 1, 4, 76
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\report_manager.lua", "Lua", 0, -14, 21, 3, 10
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\save_manager.lua", "Lua", 0, -1, 0, 0, -1
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\session_manager.lua", "Lua", 0, -1, 0, 0, -1
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\ui_manager.lua", "Lua", 0, 2501, -348, 212, 2365
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\utilities.lua", "Lua", 0, 18, -6, 1, 13
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\view_manager.lua", "Lua", 0, -306, -1, -43, -350
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\view_manager_DEPRICATED.lua", "Lua", 0, 305, 1, 43, 349
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\custom_lookup_table_templates\buff_to_talent.lua", "Lua", 0, 1, 0, 0, 1
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\custom_lookup_table_templates\combat_abilities.lua", "Lua", 0, 0, -10, -2, -12
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\custom_lookup_table_templates\damage_categories.lua", "Lua", 0, 0, 0, 1, 1
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\custom_lookup_table_templates\minion_categories.lua", "Lua", 0, -24, 0, 0, -24
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\custom_lookup_table_templates\player_state_categories.lua", "Lua", 0, 0, 0, -1, -1
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\dataset_templates.lua", "Lua", 0, -20, 8, 2, -10
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\datasource_templates.lua", "Lua", 0, -69, -17, -1, -87
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\renderer_templates.lua", "Lua", 0, 2, 0, 1, 3
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\report_templates.lua", "Lua", 0, -7, -9, 0, -16
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\scenegraph_templates.lua", "Lua", 0, -171, 0, -1, -172
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\scenegraph_templates_DEPRICATED.lua", "Lua", 0, 171, 0, 1, 172
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\view_templates.lua", "Lua", 0, -40, 5, -1, -36
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\widgets\custom_multi_line_text_input.lua", "Lua", 0, 510, 5, 79, 594
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\pdi_base_view.lua", "Lua", 0, -206, 0, -36, -242
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\pdi_base_view_DEPRICATED.lua", "Lua", 0, 206, 0, 36, 242
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\pdi_main_view.lua", "Lua", 0, -528, -2, -34, -564
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\pdi_main_view_DEPRICATED.lua", "Lua", 0, 564, 2, 38, 604
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\view_elements\pdi_base_view_element.lua", "Lua", 0, -206, 0, -41, -247
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\view_elements\pdi_edit_view_element.lua", "Lua", 0, -2421, -26, -149, -2596
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\view_elements\pdi_main_view_element.lua", "Lua", 0, -648, -6, -39, -693
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\view_elements\pdi_pivot_table_view_element.lua", "Lua", 0, -1279, -25, -69, -1373
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\view_elements_DEPRICATED\pdi_base_view_element_DEPRICATED.lua", "Lua", 0, 206, 0, 41, 247
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\view_elements_DEPRICATED\pdi_edit_view_element_DEPRICATED.lua", "Lua", 0, 2421, 26, 149, 2596
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\view_elements_DEPRICATED\pdi_main_view_element_DEPRICATED.lua", "Lua", 0, 648, 6, 39, 693
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\view_elements_DEPRICATED\pdi_pivot_table_view_element_DEPRICATED.lua", "Lua", 0, 1275, 25, 68, 1368
