"filename", "language", "Markdown", "XML", "Lua", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\Power_DI.mod", "XML", 0, 11, 0, 0, 2, 13
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\README.md", "Markdown", 109, 0, 0, 0, 16, 125
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\Power_DI.lua", "Lua", 0, 0, 118, 18, 14, 150
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\Power_DI_data.lua", "Lua", 0, 0, 100, 10, 2, 112
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\Power_DI_localization.lua", "Lua", 0, 0, 762, 137, 7, 906
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\libraries\md5.lua", "Lua", 0, 0, 347, 17, 63, 427
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\api_manager.lua", "Lua", 0, 0, 39, 6, 7, 52
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\coroutine_manager.lua", "Lua", 0, 0, 55, 6, 7, 68
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\dataset_manager.lua", "Lua", 0, 0, 357, 65, 61, 483
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\datasource_manager.lua", "Lua", 0, 0, 91, 9, 22, 122
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\lookup_manager.lua", "Lua", 0, 0, 73, 8, 12, 93
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\player_manager_DEPRICATED.lua", "Lua", 0, 0, 29, 1, 5, 35
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\modules\realtime_generation_manager_DEPRICATED.lua", "Lua", 0, 0, 71, 1, 4, 76
